affiliation	freq	lat	lng
-Qing~	149	N/A	N/A
-Quan	192	N/A	N/A
-Rong	262	N/A	N/A
-Shan	162	N/A	N/A
-Sheng	524	N/A	N/A
-Sheng~	177	N/A	N/A
-Tao	132	N/A	N/A
-Tech Univ	145	37.80215270000001	-122.2713041
-Wei	409	N/A	N/A
-Wei~	117	N/A	N/A
-Wen	256	N/A	N/A
-Wen~	114	N/A	N/A
-Wu	139	N/A	N/A
-Xia	305	N/A	N/A
-Xian	177	N/A	N/A
-Xiang	292	N/A	N/A
-Xin	348	N/A	N/A
-Xing	193	N/A	N/A
-Xin~	101	N/A	N/A
-Yan	398	N/A	N/A
-Yang	152	N/A	N/A
-Yan~	138	N/A	N/A
-Yi	263	N/A	N/A
-Ying	520	N/A	N/A
-Ying~	152	N/A	N/A
-Yong	220	N/A	N/A
-You	106	N/A	N/A
-Yu	434	N/A	N/A
-Yuan	309	N/A	N/A
-Yun	248	N/A	N/A
-Yu~	127	N/A	N/A
-Zhen	179	N/A	N/A
-Zhi	208	N/A	N/A
-Zhong	254	N/A	N/A
-Zhong~	104	N/A	N/A
1 Decembrie 1918 University of Alba Iulia	123	46.06927109999999	23.5724944
1 Dept	229	36.2827075	-95.8477339
1 No	128	40.7572673	-73.9875308
1 State Key Laboratory of Soil and Sustainable Agriculture	102	N/A	N/A
1 and 2	981	32.8935364	-96.896321
1 and 3	127	40.7618628	-73.96608549999999
14/2,Yusuf Palace, Mumbai 400 016	308	19.025832	72.841022
1AntiCancer, Inc, San Diego, CA	224	32.8129066	-117.1549232
1AntiCancer, Inc, San Diego, CA;	211	32.8129066	-117.1549232
1Astana Medical University Astana  Kazakhstan	118	51.1816299	71.4164224
1Department of Cardiac Surgery	121	42.3377788	-71.1051817
1Department of Internal Medicine	225	38.5561515	-121.4567734
1Department of Medicine	224	38.9381997	-92.3284649
1Department of Microbiology	107	41.66167859999999	-91.5444631
1Department of Neurology	135	42.3625742	-71.06830719999999
1Department of Neurology,	134	42.3625742	-71.06830719999999
1Department of Neuroscience,	106	44.9730915	-93.233526
1Department of Pediatrics	232	44.9678061	-93.2371084
1Department of Radiology	243	36.0069816	-78.937575
1Department of Rheumatology	425	33.7924493	-84.3202211
1Department of Rheumatology and Clinical Immunology	135	33.5073468	-86.8013697
1Department of Surgery	102	42.3631542	-71.0688334
1Dept	232	N/A	N/A
1Division of Infectious Diseases	124	41.8947452	-87.62318499999999
1Division of Rheumatology	102	38.5398114	-121.7550565
1Gastroenterology	551	35.1353628	-90.0173195
1H. Lee Moffitt Cancer Center and Research Institute, Tampa, FL	162	28.0537087	-82.4145728
1H. Lee Moffitt Cancer Ctr. & Res. Inst., Tampa, FL	270	28.0640627	-82.4214143
1Institute of Astronomy, Madingley Road, Cambridge CB3 0HA	295	52.2141356	0.0934501
1Institute of Astronomy, Madingley Road, Cambridge CB3 0HA, UK	108	52.2141356	0.0934501
1Internal Medicine	208	37.976592	-120.372516
1London	1442	51.506017	-0.087032
1Medicine	116	N/A	N/A
1Merrimack Pharmaceuticals, Cambridge, MA.	108	42.3669948	-71.0907403
1Moffitt Cancer Center, Tampa, FL.	113	28.0640977	-82.4211148
1NCI/NIH, Bethesda, MD	113	39.0023443	-77.100911
1National Cancer Inst., Bethesda, MD	239	39.0030694	-77.104705
1National Cancer Inst., Bethesda, MD.	114	39.0030694	-77.104705
1National Cancer Institute, Bethesda, MD	372	39.0030694	-77.104705
1National Cancer Institute, Bethesda, MD.	154	39.0030694	-77.104705
1National Cancer Institute, Bethesda, MD;	258	39.0030694	-77.104705
1National Cancer Institute, Rockville, MD;	115	39.0971508	-77.1982153
1Neonatology	138	N/A	N/A
1New York NY United States	113	40.7504263	-73.96913669999999
1Orthopaedic Surgery	152	26.5576181	-81.893029
1Pediatrics Department, Hospital Universitario Puerta Del Mar, CÃ¡diz, Spain	108	N/A	N/A
1Rheumatology	3159	36.0713478	-95.9232414
1Rheumatology Department	228	38.6348222	-90.2626097
1Rheumatology Unit	129	42.3631671	-71.0687306
1Rheumatology department	101	38.6348222	-90.2626097
1The Hospital for Sick Children, Toronto, ON, Canada	112	43.6573065	-79.3874268
1United States	129	37.09024	-95.712891
1Univ. of Alabama at Birmingham, Birmingham, AL.	134	33.5021227	-86.8064447
1Univ. of Chicago, Chicago, IL	159	41.7886079	-87.5987133
1Univ. of Michigan, Ann Arbor, MI	215	42.2780436	-83.7382241
1Univ. of Minnesota Hormel Inst., Austin, MN	149	43.6822553	-92.9660368
1Univ. of Pittsburgh Cancer Inst., Pittsburgh, PA	126	40.4545979	-79.94154809999999
1Univ. of Washington, Seattle, WA	115	47.6569628	-122.3052978
1st Department of Cardiology, Athens Medical School, Hippokration Hospital, Athens, Greece	148	37.968196	23.7786871
1âMahmoud Yaacoub Center of Urgent Medical Assistance of Tunis, Laboratory of Toxicology and Environment (LR12SP07) and El Manar University, Tunis, Tunisia	4144	N/A	N/A
2 No	256	35.1898991	-79.4668901
2 and 3	160	40.7618628	-73.96608549999999
21st Century Oncology, Fort Myers, FL	152	26.6147503	-81.8084969
2Cardio-rheumatology, Tashkent Medical Academy, Tashkent, Uzbekistan	150	41.358278	69.176501
2Institute of Astronomy, Madingley Road, Cambridge CB3 0HA	104	52.2141356	0.0934501
2National Cancer Institute, Bethesda, MD.	111	39.003235	-77.0977669
2Rheumatology	271	36.0713478	-95.9232414
